sq_mt_built,sq_mt_built_imputed_flag,n_rooms,n_bathrooms,n_bathrooms_imputed_flag,n_floors,n_floors_imputed_flag,street_name,floor,floor_imputed_flag,is_floor_under,buy_price,buy_price_by_area,is_renewal_needed,is_new_development,is_new_development_imputed_flag,built_year,built_year_imputed_flag,has_ac,has_fitted_wardrobes,has_lift,has_lift_imputed_flag,is_exterior,is_exterior_imputed_flag,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_accessible,has_green_zones,energy_certificate,has_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,house_type_cat,house_type_name,neighborhood_code,neighborhood_name,neighborhood_price_sqm,district_code,district_name,heating_type
149.0,0,4,2.0,0,0.0,1,Calle Don Quijote,Bajo,0,True,589200,3954,False,False,0,1960.0,1,True,False,False,0,Unknown,1,,,,,,,,en trámite,False,,,,,,,1,Pisos,113,Cuatro Caminos,4247.49,17,Tetuán,unknown
80.0,0,3,2.0,0,0.0,1,Calle de Joaquín Arjona,1,0,False,263000,3288,False,False,0,1925.0,1,False,True,False,0,True,0,,,,,,,,C,False,,,,,,,1,Pisos,111,Bellas Vistas,3536.07,17,Tetuán,unknown
125.0,0,2,2.0,0,0.0,1,Plaza Manolete,4,0,False,630000,5040,True,False,0,1967.0,0,False,True,True,0,True,0,,,True,,,,,G,False,,,,,,,1,Pisos,113,Cuatro Caminos,4247.49,17,Tetuán,central
37.0,0,1,1.0,0,0.0,1,Calle de las Magnolias,Bajo,0,True,97260,2629,False,False,1,1981.0,1,True,False,Unknown,1,True,0,,,,,,,,en trámite,False,,,,,,,1,Pisos,116,Ventilla-Almenara,3314.54,17,Tetuán,unknown
30.0,0,2,1.0,0,0.0,1,Calle de Francos Rodríguez,Bajo,0,True,125000,4167,False,False,0,1900.0,0,True,False,False,0,False,0,,,,,,,,en trámite,False,,,False,True,False,False,1,Pisos,111,Bellas Vistas,3536.07,17,Tetuán,individual
49.0,0,3,1.0,0,0.0,1,Calle Tenerife,Bajo,0,True,250000,5102,False,False,0,1925.0,1,True,False,True,0,False,0,,,True,,,,True,en trámite,False,,,True,True,True,True,4,Dúplex,111,Bellas Vistas,3536.07,17,Tetuán,individual
213.0,0,4,3.0,0,3.0,0,ALIGUSTRE,0,1,False,620000,2911,False,False,0,2002.0,0,True,True,Unknown,1,Unknown,1,,,True,,True,,,en trámite,True,True,0.0,False,True,False,True,2,Casa o chalet,115,Valdeacederas,3163.8,17,Tetuán,individual
50.0,0,2,1.0,0,0.0,1,Calle Goiri,2,0,False,159000,3180,True,False,0,1925.0,1,False,False,False,0,False,0,,,,,,,,en trámite,False,,,,,,,1,Pisos,111,Bellas Vistas,3536.07,17,Tetuán,individual
270.0,0,4,3.0,0,0.0,1,Calle de Hernani,3,0,False,790000,2926,True,False,0,1960.0,1,True,True,True,0,False,0,,,True,,True,,,en trámite,True,True,0.0,False,False,True,False,1,Pisos,113,Cuatro Caminos,4247.49,17,Tetuán,unknown
72.0,0,3,1.0,0,0.0,1,Calle Mirto,5,0,False,229000,3181,False,False,0,1976.0,0,False,False,False,0,True,0,,,True,,True,,,E,True,True,0.0,,,,,1,Pisos,115,Valdeacederas,3163.8,17,Tetuán,central
42.0,0,1,1.0,0,0.0,1,Calle de Hernani,2,0,False,169500,4036,False,False,0,1960.0,1,False,True,False,0,False,0,,,,,,,,G,False,,,,,,,1,Pisos,113,Cuatro Caminos,4247.49,17,Tetuán,unknown
